Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2731,Bovine Meat,2016,2016,1000 t,7,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2016,2016,kg/cap,3.28,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2016,2016,g/cap/d,1.37,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2731,Bovine Meat,2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2022,2022,kg/cap,1.99,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2022,2022,g/cap/d,0.83,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2732,Mutton & Goat Meat,2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2016,2016,kg/cap,4.8,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2016,2016,g/cap/d,2.21,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2732,Mutton & Goat Meat,2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2022,2022,kg/cap,3.62,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2022,2022,g/cap/d,1.67,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2733,Pigmeat,2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2016,2016,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2016,2016,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2733,Pigmeat,2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2022,2022,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2734,Poultry Meat,2016,2016,1000 t,37,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2016,2016,kg/cap,2,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2016,2016,g/cap/d,0.9,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2734,Poultry Meat,2022,2022,1000 t,7,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2022,2022,kg/cap,0.87,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2022,2022,g/cap/d,0.39,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2735,"Meat, Other",2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2016,2016,kg/cap,0.36,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2016,2016,g/cap/d,0.18,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2735,"Meat, Other",2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2022,2022,kg/cap,0.28,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2022,2022,g/cap/d,0.14,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2736,"Offals, Edible",2016,2016,1000 t,5,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2016,2016,kg/cap,1.48,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2736,"Offals, Edible",2016,2016,g/cap/d,0.62,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2736,"Offals, Edible",2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2022,2022,kg/cap,1.02,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2736,"Offals, Edible",2022,2022,g/cap/d,0.42,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2740,"Butter, Ghee",2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2016,2016,kg/cap,1.23,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2740,"Butter, Ghee",2016,2016,g/cap/d,0.03,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2740,"Butter, Ghee",2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2022,2022,kg/cap,1.04,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2740,"Butter, Ghee",2022,2022,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2743,Cream,2016,2016,1000 t,11,I,Imputed value,
